Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"White matter correlates of sensory processing in autism spectrum disorders.","/pubmed/25379451","Pryweller JR, Schauder KB, Anderson AW, Heacock JL, Foss-Feig JH, Newsom CR, Loring WA, Cascio CJ.","Neuroimage Clin. 2014 Oct 13;6:379-87. doi: 10.1016/j.nicl.2014.09.018. eCollection 2014.","Neuroimage Clin.  2014","PubMed","citation","PMID:25379451 | PMCID:PMC4218938","pubmed","25379451","create date:2014/11/08 | first author:Pryweller JR",
"High resolution magnetic resonance imaging for characterization of the neuroligin-3 knock-in mouse model associated with autism spectrum disorder.","/pubmed/25299583","Kumar M, Duda JT, Hwang WT, Kenworthy C, Ittyerah R, Pickup S, Brodkin ES, Gee JC, Abel T, Poptani H.","PLoS One. 2014 Oct 9;9(10):e109872. doi: 10.1371/journal.pone.0109872. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25299583 | PMCID:PMC4192590","pubmed","25299583","create date:2014/10/10 | first author:Kumar M",
"Early alterations in functional connectivity and white matter structure in a transgenic mouse model of cerebral amyloidosis.","/pubmed/25297104","Grandjean J, Schroeter A, He P, Tanadini M, Keist R, Krstic D, Konietzko U, Klohs J, Nitsch RM, Rudin M.","J Neurosci. 2014 Oct 8;34(41):13780-9. doi: 10.1523/JNEUROSCI.4762-13.2014.","J Neurosci.  2014","PubMed","citation","PMID:25297104 | PMCID:PMC6608375","pubmed","25297104","create date:2014/10/10 | first author:Grandjean J",
"From Caenorhabditis elegans to the human connectome: a specific modular organization increases metabolic, functional and developmental efficiency.","/pubmed/25180307","Kim JS, Kaiser M.","Philos Trans R Soc Lond B Biol Sci. 2014 Oct 5;369(1653). pii: 20130529. doi: 10.1098/rstb.2013.0529.","Philos Trans R Soc Lond B Biol Sci.  2014","PubMed","citation","PMID:25180307 | PMCID:PMC4150304","pubmed","25180307","create date:2014/09/03 | first author:Kim JS",
"Diffusion tensor imaging of spinocerebellar ataxia type 12.","/pubmed/25274186","Li H, Ma J, Zhang X.","Med Sci Monit. 2014 Oct 2;20:1783-91. doi: 10.12659/MSM.891104.","Med Sci Monit.  2014","PubMed","citation","PMID:25274186 | PMCID:PMC4199396","pubmed","25274186","create date:2014/10/03 | first author:Li H",
"Comparison of perfusion- and diffusion-weighted imaging parameters in brain tumor studies processed using different software platforms.","/pubmed/25088833","Milchenko MV, Rajderkar D, LaMontagne P, Massoumzadeh P, Bogdasarian R, Schweitzer G, Benzinger T, Marcus D, Shimony JS, Fouke SJ.","Acad Radiol. 2014 Oct;21(10):1294-303. doi: 10.1016/j.acra.2014.05.016. Epub 2014 Aug 1.","Acad Radiol.  2014","PubMed","citation","PMID:25088833 | PMCID:PMC4607045","pubmed","25088833","create date:2014/08/05 | first author:Milchenko MV",
"Impaired white matter development in extremely low-birth-weight infants with previous brain hemorrhage.","/pubmed/24874534","Ou X, Glasier CM, Ramakrishnaiah RH, Mulkey SB, Ding Z, Angtuaco TL, Andres A, Kaiser JR.","AJNR Am J Neuroradiol. 2014 Oct;35(10):1983-9. doi: 10.3174/ajnr.A3988. Epub 2014 May 29.","AJNR Am J Neuroradiol.  2014","PubMed","citation","PMID:24874534 | PMCID:PMC4207210","pubmed","24874534","create date:2014/05/31 | first author:Ou X",
"Distribution of axon diameters in cortical white matter: an electron-microscopic study on three human brains and a macaque.","/pubmed/25142940","Liewald D, Miller R, Logothetis N, Wagner HJ, Schüz A.","Biol Cybern. 2014 Oct;108(5):541-57. doi: 10.1007/s00422-014-0626-2. Epub 2014 Aug 21.","Biol Cybern.  2014","PubMed","citation","PMID:25142940 | PMCID:PMC4228120","pubmed","25142940","create date:2014/08/22 | first author:Liewald D",
"The evolution of primary progressive apraxia of speech.","/pubmed/25113789","Josephs KA, Duffy JR, Strand EA, Machulda MM, Senjem ML, Gunter JL, Schwarz CG, Reid RI, Spychalla AJ, Lowe VJ, Jack CR Jr, Whitwell JL.","Brain. 2014 Oct;137(Pt 10):2783-95. doi: 10.1093/brain/awu223. Epub 2014 Aug 11.","Brain.  2014","PubMed","citation","PMID:25113789 | PMCID:PMC4229741","pubmed","25113789","create date:2014/08/13 | first author:Josephs KA",
"Altered microstructure within social-cognitive brain networks during childhood in Williams syndrome.","/pubmed/23709644","Haas BW, Barnea-Goraly N, Sheau KE, Yamagata B, Ullas S, Reiss AL.","Cereb Cortex. 2014 Oct;24(10):2796-806. doi: 10.1093/cercor/bht135. Epub 2013 May 24.","Cereb Cortex.  2014","PubMed","citation","PMID:23709644 | PMCID:PMC4207879","pubmed","23709644","create date:2013/05/28 | first author:Haas BW",
"Same task, different strategies: how brain networks can be influenced by memory strategy.","/pubmed/24931401","Sanfratello L, Caprihan A, Stephen JM, Knoefel JE, Adair JC, Qualls C, Lundy SL, Aine CJ.","Hum Brain Mapp. 2014 Oct;35(10):5127-40. doi: 10.1002/hbm.22538. Epub 2014 Jun 13.","Hum Brain Mapp.  2014","PubMed","citation","PMID:24931401 | PMCID:PMC4315666","pubmed","24931401","create date:2014/06/17 | first author:Sanfratello L",
"Brain tissue properties differentiate between motor and limbic basal ganglia circuits.","/pubmed/24777915","Accolla EA, Dukart J, Helms G, Weiskopf N, Kherif F, Lutti A, Chowdhury R, Hetzer S, Haynes JD, Kühn AA, Draganski B.","Hum Brain Mapp. 2014 Oct;35(10):5083-92. doi: 10.1002/hbm.22533. Epub 2014 Apr 28.","Hum Brain Mapp.  2014","PubMed","citation","PMID:24777915 | PMCID:PMC4282398","pubmed","24777915","create date:2014/04/30 | first author:Accolla EA",
"Use of diffusion tensor imaging to assess the impact of normobaric hyperoxia within at-risk pericontusional tissue after traumatic brain injury.","/pubmed/25005875","Veenith TV, Carter EL, Grossac J, Newcombe VF, Outtrim JG, Nallapareddy S, Lupson V, Correia MM, Mada MM, Williams GB, Menon DK, Coles JP.","J Cereb Blood Flow Metab. 2014 Oct;34(10):1622-7. doi: 10.1038/jcbfm.2014.123. Epub 2014 Jul 9.","J Cereb Blood Flow Metab.  2014","PubMed","citation","PMID:25005875 | PMCID:PMC4269721","pubmed","25005875","create date:2014/07/10 | first author:Veenith TV",
"Physical activity predicts microstructural integrity in memory-related networks in very old adults.","/pubmed/24474004","Tian Q, Erickson KI, Simonsick EM, Aizenstein HJ, Glynn NW, Boudreau RM, Newman AB, Kritchevsky SB, Yaffe K, Harris TB, Rosano C.","J Gerontol A Biol Sci Med Sci. 2014 Oct;69(10):1284-90. doi: 10.1093/gerona/glt287. Epub 2014 Jan 28.","J Gerontol A Biol Sci Med Sci.  2014","PubMed","citation","PMID:24474004 | PMCID:PMC4172036","pubmed","24474004","create date:2014/01/30 | first author:Tian Q",
"Disrupted structural connectome is associated with both psychometric and real-world neuropsychological impairment in diffuse traumatic brain injury.","/pubmed/25287217","Kim J, Parker D, Whyte J, Hart T, Pluta J, Ingalhalikar M, Coslett HB, Verma R.","J Int Neuropsychol Soc. 2014 Oct;20(9):887-96. doi: 10.1017/S1355617714000812. Epub 2014 Oct 7.","J Int Neuropsychol Soc.  2014","PubMed","citation","PMID:25287217 | PMCID:PMC4275544","pubmed","25287217","create date:2014/10/08 | first author:Kim J",
"Characterization of microstructural injury: a novel approach in infant abusive head trauma-initial experience.","/pubmed/24831582","Imagawa KK, Hamilton A, Ceschin R, Tokar E, Pham P, Bluml S, Wisnowski J, Panigrahy A.","J Neurotrauma. 2014 Oct 1;31(19):1632-8. doi: 10.1089/neu.2013.3228. Epub 2014 Jul 31.","J Neurotrauma.  2014","PubMed","citation","PMID:24831582 | PMCID:PMC4171035","pubmed","24831582","create date:2014/05/17 | first author:Imagawa KK",
"Abnormal white matter integrity related to head impact exposure in a season of high school varsity football.","/pubmed/24786802","Davenport EM, Whitlow CT, Urban JE, Espeland MA, Jung Y, Rosenbaum DA, Gioia GA, Powers AK, Stitzel JD, Maldjian JA.","J Neurotrauma. 2014 Oct 1;31(19):1617-24. doi: 10.1089/neu.2013.3233. Epub 2014 Jul 14.","J Neurotrauma.  2014","PubMed","citation","PMID:24786802 | PMCID:PMC4170811","pubmed","24786802","create date:2014/05/03 | first author:Davenport EM",
"A low power radiofrequency pulse for simultaneous multislice excitation and refocusing.","/pubmed/25103999","Eichner C, Wald LL, Setsompop K.","Magn Reson Med. 2014 Oct;72(4):949-58. doi: 10.1002/mrm.25389. Epub 2014 Aug 7.","Magn Reson Med.  2014","PubMed","citation","PMID:25103999","pubmed","25103999","create date:2014/08/12 | first author:Eichner C",
"Multi-shell diffusion signal recovery from sparse measurements.","/pubmed/25047866","Rathi Y, Michailovich O, Laun F, Setsompop K, Grant PE, Westin CF.","Med Image Anal. 2014 Oct;18(7):1143-56. doi: 10.1016/j.media.2014.06.003. Epub 2014 Jul 5.","Med Image Anal.  2014","PubMed","citation","PMID:25047866 | PMCID:PMC4145038","pubmed","25047866","create date:2014/07/23 | first author:Rathi Y",
"Automated detection of brain abnormalities in neonatal hypoxia ischemic injury from MR images.","/pubmed/25000294","Ghosh N, Sun Y, Bhanu B, Ashwal S, Obenaus A.","Med Image Anal. 2014 Oct;18(7):1059-69. doi: 10.1016/j.media.2014.05.002. Epub 2014 May 16.","Med Image Anal.  2014","PubMed","citation","PMID:25000294 | PMCID:PMC4145020","pubmed","25000294","create date:2014/07/08 | first author:Ghosh N",
"The SORL1 gene and convergent neural risk for Alzheimer's disease across the human lifespan.","/pubmed/24166411","Felsky D, Szeszko P, Yu L, Honer WG, De Jager PL, Schneider JA, Malhotra AK, Lencz T, Ikuta T, Pipitone J, Chakravarty MM, Lobaugh NJ, Mulsant BH, Pollock BG, Kennedy JL, Bennett DA, Voineskos AN.","Mol Psychiatry. 2014 Oct;19(10):1125-32. doi: 10.1038/mp.2013.142. Epub 2013 Oct 29.","Mol Psychiatry.  2014","PubMed","citation","PMID:24166411 | PMCID:PMC4004725","pubmed","24166411","create date:2013/10/30 | first author:Felsky D",
"Emerging techniques and technologies in brain tumor imaging.","/pubmed/25313234","Ellingson BM, Bendszus M, Sorensen AG, Pope WB.","Neuro Oncol. 2014 Oct;16 Suppl 7:vii12-23. doi: 10.1093/neuonc/nou221.","Neuro Oncol.  2014","PubMed","citation","PMID:25313234 | PMCID:PMC4195527","pubmed","25313234","create date:2014/10/15 | first author:Ellingson BM",
"Navigated transcranial magnetic stimulation improves the treatment outcome in patients with brain tumors in motor eloquent locations.","/pubmed/24923875","Frey D, Schilt S, Strack V, Zdunczyk A, Rösler J, Niraula B, Vajkoczy P, Picht T.","Neuro Oncol. 2014 Oct;16(10):1365-72. doi: 10.1093/neuonc/nou110. Epub 2014 Jun 12.","Neuro Oncol.  2014","PubMed","citation","PMID:24923875 | PMCID:PMC4165423","pubmed","24923875","create date:2014/06/14 | first author:Frey D",
"Accelerated white matter aging in schizophrenia: role of white matter blood perfusion.","/pubmed/24680326","Wright S, Kochunov P, Chiappelli J, McMahon R, Muellerklein F, Wijtenburg SA, White MG, Rowland LM, Hong LE.","Neurobiol Aging. 2014 Oct;35(10):2411-2418. doi: 10.1016/j.neurobiolaging.2014.02.016. Epub 2014 Feb 28.","Neurobiol Aging.  2014","PubMed","citation","PMID:24680326 | PMCID:PMC4087059","pubmed","24680326","create date:2014/04/01 | first author:Wright S",
"Mapping track density changes in nigrostriatal and extranigral pathways in Parkinson's disease.","/pubmed/24956065","Ziegler E, Rouillard M, André E, Coolen T, Stender J, Balteau E, Phillips C, Garraux G.","Neuroimage. 2014 Oct 1;99:498-508. doi: 10.1016/j.neuroimage.2014.06.033. Epub 2014 Jun 20.","Neuroimage.  2014","PubMed","citation","PMID:24956065 | PMCID:PMC4121087","pubmed","24956065","create date:2014/06/24 | first author:Ziegler E",
"Relating brain anatomy and cognitive ability using a multivariate multimodal framework.","/pubmed/24830834","Cook PA, McMillan CT, Avants BB, Peelle JE, Gee JC, Grossman M.","Neuroimage. 2014 Oct 1;99:477-86. doi: 10.1016/j.neuroimage.2014.05.008. Epub 2014 May 13.","Neuroimage.  2014","PubMed","citation","PMID:24830834 | PMCID:PMC4151353","pubmed","24830834","create date:2014/05/17 | first author:Cook PA",
"MRS water resonance frequency in childhood brain tumours: a novel potential biomarker of temperature and tumour environment.","/pubmed/25125325","Babourina-Brooks B, Wilson M, Arvanitis TN, Peet AC, Davies NP.","NMR Biomed. 2014 Oct;27(10):1222-9. doi: 10.1002/nbm.3177. Epub 2014 Aug 14.","NMR Biomed.  2014","PubMed","citation","PMID:25125325 | PMCID:PMC4491353","pubmed","25125325","create date:2014/08/16 | first author:Babourina-Brooks B",
"Differential structural and resting state connectivity between insular subdivisions and other pain-related brain regions.","/pubmed/25047781","Wiech K, Jbabdi S, Lin CS, Andersson J, Tracey I.","Pain. 2014 Oct;155(10):2047-55. doi: 10.1016/j.pain.2014.07.009. Epub 2014 Jul 15.","Pain.  2014","PubMed","citation","PMID:25047781 | PMCID:PMC4220010","pubmed","25047781","create date:2014/07/23 | first author:Wiech K",
"Relationship between watershed infarcts and recent intra plaque haemorrhage in carotid atherosclerotic plaque.","/pubmed/25272160","Isabel C, Lecler A, Turc G, Naggara O, Schmitt E, Belkacem S, Oppenheim C, Touzé E.","PLoS One. 2014 Oct 1;9(10):e108712. doi: 10.1371/journal.pone.0108712. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25272160 | PMCID:PMC4182714","pubmed","25272160","create date:2014/10/02 | first author:Isabel C",
"White matter morphometric changes uniquely predict children's reading acquisition.","/pubmed/25212581","Myers CA, Vandermosten M, Farris EA, Hancock R, Gimenez P, Black JM, Casto B, Drahos M, Tumber M, Hendren RL, Hulme C, Hoeft F.","Psychol Sci. 2014 Oct;25(10):1870-83. doi: 10.1177/0956797614544511. Epub 2014 Sep 11.","Psychol Sci.  2014","PubMed","citation","PMID:25212581 | PMCID:PMC4326021","pubmed","25212581","create date:2014/09/13 | first author:Myers CA",
"The Alzheimer structural connectome: changes in cortical network topology with increased amyloid plaque burden.","/pubmed/24865310","Prescott JW, Guidon A, Doraiswamy PM, Roy Choudhury K, Liu C, Petrella JR; Alzheimer’s Disease Neuroimaging Initiative..","Radiology. 2014 Oct;273(1):175-84. doi: 10.1148/radiol.14132593. Epub 2014 May 22. Erratum in: Radiology. 2016 Apr;279(1):328. ","Radiology.  2014","PubMed","citation","PMID:24865310 | PMCID:PMC4263657","pubmed","24865310","create date:2014/05/29 | first author:Prescott JW",
"Classification algorithms using multiple MRI features in mild traumatic brain injury.","/pubmed/25171930","Lui YW, Xue Y, Kenul D, Ge Y, Grossman RI, Wang Y.","Neurology. 2014 Sep 30;83(14):1235-40. doi: 10.1212/WNL.0000000000000834. Epub 2014 Aug 29.","Neurology.  2014","PubMed","citation","PMID:25171930 | PMCID:PMC4180485","pubmed","25171930","create date:2014/08/31 | first author:Lui YW",
"Regional differences in fiber tractography predict neurodevelopmental outcomes in neonates with infantile Krabbe disease.","/pubmed/25844309","Gupta A, Poe MD, Styner MA, Panigrahy A, Escolar ML.","Neuroimage Clin. 2014 Sep 26;7:792-8. doi: 10.1016/j.nicl.2014.09.014. eCollection 2015.","Neuroimage Clin.  2015","PubMed","citation","PMID:25844309 | PMCID:PMC4375637","pubmed","25844309","create date:2015/04/07 | first author:Gupta A",
"Are APOE ɛ genotype and TOMM40 poly-T repeat length associations with cognitive ageing mediated by brain white matter tract integrity?","/pubmed/25247594","Lyall DM, Harris SE, Bastin ME, Muñoz Maniega S, Murray C, Lutz MW, Saunders AM, Roses AD, Valdés Hernández Mdel C, Royle NA, Starr JM, Porteous DJ, Wardlaw JM, Deary IJ.","Transl Psychiatry. 2014 Sep 23;4:e449. doi: 10.1038/tp.2014.89.","Transl Psychiatry.  2014","PubMed","citation","PMID:25247594 | PMCID:PMC4203017","pubmed","25247594","create date:2014/09/24 | first author:Lyall DM",
"Lifespan maturation and degeneration of human brain white matter.","/pubmed/25230200","Yeatman JD, Wandell BA, Mezer AA.","Nat Commun. 2014 Sep 17;5:4932. doi: 10.1038/ncomms5932.","Nat Commun.  2014","PubMed","citation","PMID:25230200 | PMCID:PMC4238904","pubmed","25230200","create date:2014/09/18 | first author:Yeatman JD",
"Preserved white matter in unmedicated pediatric bipolar disorder.","/pubmed/25017827","Teixeira AM, Kleinman A, Zanetti M, Jackowski M, Duran F, Pereira F, Lafer B, Busatto GF, Caetano SC.","Neurosci Lett. 2014 Sep 5;579:41-5. doi: 10.1016/j.neulet.2014.06.061. Epub 2014 Jul 10.","Neurosci Lett.  2014","PubMed","citation","PMID:25017827","pubmed","25017827","create date:2014/07/16 | first author:Teixeira AM",
"Interleukin-6, age, and corpus callosum integrity.","/pubmed/25188448","Bettcher BM, Watson CL, Walsh CM, Lobach IV, Neuhaus J, Miller JW, Green R, Patel N, Dutt S, Busovaca E, Rosen HJ, Yaffe K, Miller BL, Kramer JH.","PLoS One. 2014 Sep 4;9(9):e106521. doi: 10.1371/journal.pone.0106521. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25188448 | PMCID:PMC4154691","pubmed","25188448","create date:2014/09/05 | first author:Bettcher BM",
"Brain changes in Kallmann syndrome.","/pubmed/24788131","Manara R, Salvalaggio A, Favaro A, Palumbo V, Citton V, Elefante A, Brunetti A, Di Salle F, Bonanni G, Sinisi AA; Kallmann Syndrome Neuroradiological Study Group..","AJNR Am J Neuroradiol. 2014 Sep;35(9):1700-6. doi: 10.3174/ajnr.A3946. Epub 2014 Apr 30.","AJNR Am J Neuroradiol.  2014","PubMed","citation","PMID:24788131","pubmed","24788131","create date:2014/05/03 | first author:Manara R",
"Human brain lesion-deficit inference remapped.","/pubmed/24974384","Mah YH, Husain M, Rees G, Nachev P.","Brain. 2014 Sep;137(Pt 9):2522-31. doi: 10.1093/brain/awu164. Epub 2014 Jun 28.","Brain.  2014","PubMed","citation","PMID:24974384 | PMCID:PMC4132645","pubmed","24974384","create date:2014/06/30 | first author:Mah YH",
"Comparing like with like: the power of knowing where you are.","/pubmed/24999746","Turner R, Geyer S.","Brain Connect. 2014 Sep;4(7):547-57. doi: 10.1089/brain.2014.0261. Epub 2014 Aug 7.","Brain Connect.  2014","PubMed","citation","PMID:24999746 | PMCID:PMC4146387","pubmed","24999746","create date:2014/07/08 | first author:Turner R",
"Structural and functional aspects relating to cost and benefit of rich club organization in the human cerebral cortex.","/pubmed/23551922","Collin G, Sporns O, Mandl RC, van den Heuvel MP.","Cereb Cortex. 2014 Sep;24(9):2258-67. doi: 10.1093/cercor/bht064. Epub 2013 Apr 3.","Cereb Cortex.  2014","PubMed","citation","PMID:23551922 | PMCID:PMC4128699","pubmed","23551922","create date:2013/04/05 | first author:Collin G",
"Quantitative MR and cognitive impairment in cryptogenic localisation-related epilepsy.","/pubmed/25036856","Jansen JF, van der Kruijs SJ, Vlooswijk MC, Majoie HM, Hofman PA, Aldenkamp AP, Backes WH.","Epileptic Disord. 2014 Sep;16(3):318-27. doi: 10.1684/epd.2014.0665.","Epileptic Disord.  2014","PubMed","citation","PMID:25036856","pubmed","25036856","create date:2014/07/19 | first author:Jansen JF",
"Correlation between structural and functional connectivity impairment in amyotrophic lateral sclerosis.","/pubmed/24604691","Schmidt R, Verstraete E, de Reus MA, Veldink JH, van den Berg LH, van den Heuvel MP.","Hum Brain Mapp. 2014 Sep;35(9):4386-95. doi: 10.1002/hbm.22481. Epub 2014 Mar 6.","Hum Brain Mapp.  2014","PubMed","citation","PMID:24604691 | PMCID:PMC4207190","pubmed","24604691","create date:2014/03/08 | first author:Schmidt R",
"Altered structural brain connectome in young adult fragile X premutation carriers.","/pubmed/24578183","Leow A, Harvey D, Goodrich-Hunsaker NJ, Gadelkarim J, Kumar A, Zhan L, Rivera SM, Simon TJ.","Hum Brain Mapp. 2014 Sep;35(9):4518-30. doi: 10.1002/hbm.22491. Epub 2014 Feb 27.","Hum Brain Mapp.  2014","PubMed","citation","PMID:24578183 | PMCID:PMC4106982","pubmed","24578183","create date:2014/03/01 | first author:Leow A",
"Semiautomatic segmentation of brain subcortical structures from high-field MRI.","/pubmed/25192576","Kim J, Lenglet C, Duchin Y, Sapiro G, Harel N.","IEEE J Biomed Health Inform. 2014 Sep;18(5):1678-95. doi: 10.1109/JBHI.2013.2292858.","IEEE J Biomed Health Inform.  2014","PubMed","citation","PMID:25192576 | PMCID:PMC4381448","pubmed","25192576","create date:2014/09/06 | first author:Kim J",
"White matter changes in patients with friedreich ataxia after treatment with erythropoietin.","/pubmed/24015771","Egger K, Clemm von Hohenberg C, Schocke MF, Guttmann CR, Wassermann D, Wigand MC, Nachbauer W, Kremser C, Sturm B, Scheiber-Mojdehkar B, Kubicki M, Shenton ME, Boesch S.","J Neuroimaging. 2014 Sep-Oct;24(5):504-8. doi: 10.1111/jon.12050. Epub 2013 Sep 9.","J Neuroimaging.  2014","PubMed","citation","PMID:24015771 | PMCID:PMC3950637","pubmed","24015771","create date:2013/09/11 | first author:Egger K",
"Voxel-wise co-analysis of macro- and microstructural brain alteration in mild cognitive impairment and Alzheimer's disease using anatomical and diffusion MRI.","/pubmed/23421601","Cardenas VA, Tosun D, Chao LL, Fletcher PT, Joshi S, Weiner MW, Schuff N.","J Neuroimaging. 2014 Sep-Oct;24(5):435-43. doi: 10.1111/jon.12002. Epub 2013 Feb 19.","J Neuroimaging.  2014","PubMed","citation","PMID:23421601 | PMCID:PMC3951683","pubmed","23421601","create date:2013/02/21 | first author:Cardenas VA",
"Structural brain alterations in children an average of 5 years after surgery and chemotherapy for brain tumors.","/pubmed/24830985","Nelson MB, Macey PM, Harper RM, Jacob E, Patel SK, Finlay JL, Nelson MD Jr, Compton P.","J Neurooncol. 2014 Sep;119(2):317-26. doi: 10.1007/s11060-014-1480-8. Epub 2014 May 16.","J Neurooncol.  2014","PubMed","citation","PMID:24830985 | PMCID:PMC4146685","pubmed","24830985","create date:2014/05/17 | first author:Nelson MB",
"Diffusion tensor imaging for outcome prediction in mild traumatic brain injury: a TRACK-TBI study.","/pubmed/24742275","Yuh EL, Cooper SR, Mukherjee P, Yue JK, Lingsma HF, Gordon WA, Valadka AB, Okonkwo DO, Schnyer DM, Vassar MJ, Maas AI, Manley GT; TRACK-TBI INVESTIGATORS..","J Neurotrauma. 2014 Sep 1;31(17):1457-77. doi: 10.1089/neu.2013.3171. Epub 2014 Jul 9.","J Neurotrauma.  2014","PubMed","citation","PMID:24742275 | PMCID:PMC4144386","pubmed","24742275","create date:2014/04/20 | first author:Yuh EL",
"Longitudinal white matter changes after traumatic axonal injury.","/pubmed/24738754","Perez AM, Adler J, Kulkarni N, Strain JF, Womack KB, Diaz-Arrastia R, Marquez de la Plata CD.","J Neurotrauma. 2014 Sep 1;31(17):1478-85. doi: 10.1089/neu.2013.3216. Epub 2014 Jul 21.","J Neurotrauma.  2014","PubMed","citation","PMID:24738754 | PMCID:PMC4144365","pubmed","24738754","create date:2014/04/18 | first author:Perez AM",
"Clinical and radiological findings in methadone-induced delayed leukoencephalopathy.","/pubmed/24909124","Bileviciute-Ljungar I, Häglund V, Carlsson J, von Heijne A.","J Rehabil Med. 2014 Sep;46(8):828-30. doi: 10.2340/16501977-1820.","J Rehabil Med.  2014","PubMed","citation","PMID:24909124","pubmed","24909124","create date:2014/06/10 | first author:Bileviciute-Ljungar I",
"Semi-adiabatic Shinnar-Le Roux pulses and their application to diffusion tensor imaging of humans at 7T.","/pubmed/24928300","Balchandani P, Qiu D.","Magn Reson Imaging. 2014 Sep;32(7):804-12. doi: 10.1016/j.mri.2014.04.003. Epub 2014 Apr 13.","Magn Reson Imaging.  2014","PubMed","citation","PMID:24928300 | PMCID:PMC4099418","pubmed","24928300","create date:2014/06/15 | first author:Balchandani P",
"Mean magnetic susceptibility regularized susceptibility tensor imaging (MMSR-STI) for estimating orientations of white matter fibers in human brain.","/pubmed/24974830","Li X, van Zijl PC.","Magn Reson Med. 2014 Sep;72(3):610-9. doi: 10.1002/mrm.25322. Epub 2014 Jun 27.","Magn Reson Med.  2014","PubMed","citation","PMID:24974830 | PMCID:PMC4134695","pubmed","24974830","create date:2014/07/01 | first author:Li X",
"Oscillating gradient spin-echo (OGSE) diffusion tensor imaging of the human brain.","/pubmed/24142863","Baron CA, Beaulieu C.","Magn Reson Med. 2014 Sep;72(3):726-36. doi: 10.1002/mrm.24987. Epub 2013 Oct 18.","Magn Reson Med.  2014","PubMed","citation","PMID:24142863","pubmed","24142863","create date:2013/10/22 | first author:Baron CA",
"Signal-to-noise assessment for diffusion tensor imaging with single data set and validation using a difference image method with data from a multicenter study.","/pubmed/25186407","Wang ZJ, Chia JM, Ahmed S, Rollins NK.","Med Phys. 2014 Sep;41(9):092302. doi: 10.1118/1.4893195.","Med Phys.  2014","PubMed","citation","PMID:25186407 | PMCID:PMC4141914","pubmed","25186407","create date:2014/09/05 | first author:Wang ZJ",
"Language-general and -specific white matter microstructural bases for reading.","/pubmed/24814214","Zhang M, Chen C, Xue G, Lu ZL, Mei L, Xue H, Wei M, He Q, Li J, Dong Q.","Neuroimage. 2014 Sep;98:435-41. doi: 10.1016/j.neuroimage.2014.04.080. Epub 2014 May 9.","Neuroimage.  2014","PubMed","citation","PMID:24814214 | PMCID:PMC4120769","pubmed","24814214","create date:2014/05/13 | first author:Zhang M",
"PUNCH: Population Characterization of Heterogeneity.","/pubmed/24799135","Tunc B, Ghanbari Y, Smith AR, Pandey J, Browne A, Schultz RT, Verma R.","Neuroimage. 2014 Sep;98:50-60. doi: 10.1016/j.neuroimage.2014.04.068. Epub 2014 May 2.","Neuroimage.  2014","PubMed","citation","PMID:24799135 | PMCID:PMC4099279","pubmed","24799135","create date:2014/05/07 | first author:Tunc B",
"Signal contributions to heavily diffusion-weighted functional magnetic resonance imaging investigated with multi-SE-EPI acquisitions.","/pubmed/24780698","Kuroiwa D, Obata T, Kawaguchi H, Autio J, Hirano M, Aoki I, Kanno I, Kershaw J.","Neuroimage. 2014 Sep;98:258-65. doi: 10.1016/j.neuroimage.2014.04.050. Epub 2014 Apr 26.","Neuroimage.  2014","PubMed","citation","PMID:24780698","pubmed","24780698","create date:2014/05/02 | first author:Kuroiwa D",
"Neonatal neuropsychology: emerging relations of neonatal sensory-motor responses to white matter integrity.","/pubmed/25090927","Weinstein M, Marom R, Berger I, Ben Bashat D, Gross-Tsur V, Ben-Sira L, Artzi M, Uliel S, Leitner Y, Geva R.","Neuropsychologia. 2014 Sep;62:209-19. doi: 10.1016/j.neuropsychologia.2014.07.028. Epub 2014 Aug 1.","Neuropsychologia.  2014","PubMed","citation","PMID:25090927","pubmed","25090927","create date:2014/08/06 | first author:Weinstein M",
"Using ADC Maps with Structural Scans to Improve Intraoperative Biopsy Specimens in Brain Metastases.","/pubmed/25196614","Zakaria R, Jenkinson MD.","Neuroradiol J. 2014 Sep;27(4):422-4. doi: 10.15274/NRJ-2014-10075. Epub 2014 Aug 29.","Neuroradiol J.  2014","PubMed","citation","PMID:25196614 | PMCID:PMC4236864","pubmed","25196614","create date:2014/09/10 | first author:Zakaria R",
"White matter injury in newborns with congenital heart disease: a diffusion tensor imaging study.","/pubmed/25160542","Mulkey SB, Ou X, Ramakrishnaiah RH, Glasier CM, Swearingen CJ, Melguizo MS, Yap VL, Schmitz ML, Bhutta AT.","Pediatr Neurol. 2014 Sep;51(3):377-83. doi: 10.1016/j.pediatrneurol.2014.04.008. Epub 2014 Apr 12.","Pediatr Neurol.  2014","PubMed","citation","PMID:25160542 | PMCID:PMC4147255","pubmed","25160542","create date:2014/08/28 | first author:Mulkey SB",
